,Integer_Year,46214,46219,46220,46227,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,April,August,December,February,January,July,June,March,May,November,October,September,Median Bedroom Price
147,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,154362.36
148,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,183018.42
149,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,201508.83
150,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90437.65
151,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,119594.62
152,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,156004.02
153,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,184564.27
154,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,201421.11
155,25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93755.39
156,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121809.484
157,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,157857.6
158,25,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,191611.05
159,25,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,208561.23
160,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90828.14
161,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123245.54
162,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157160.1
163,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,190812.38
164,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,205912.11
165,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95312.87
166,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126994.22
167,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,161662.36
168,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,192924.39
169,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,207104.33
170,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97532.586
171,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125510.92
172,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161332.11
173,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,193386.08
174,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,207683.7
175,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96715.26
176,25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126367.02
177,25,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160315.86
178,25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,192437.8
179,25,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,206903.75
180,25,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94859.016
181,25,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115279.086
182,25,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,161882.23
183,25,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,186194.7
184,25,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,209649.14
185,25,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94453.73
186,25,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114717.71
187,25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,161536.8
188,25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,185508.62
189,25,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,212120.8
190,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94623.02
191,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,116305.46
192,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,162702.7
193,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,188954.25
194,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,215083.4
195,25,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92016.59
196,25,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114831.13
197,25,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,162403.52
198,25,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,185654.78
199,25,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,217569.86
200,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93519.24
201,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115437.43
202,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,165681.05
203,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,189263.33
204,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,216206.77
205,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97355.82
206,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117552.57
207,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,166152.6
208,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,189009.9
209,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,220817.53
210,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94908.24
211,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116611.77
212,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,167433.0
213,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,188371.03
214,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,218329.95
215,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98222.73
216,25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,118649.71
217,25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,168859.88
218,25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,192803.39
219,25,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,221261.08
220,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94743.12
221,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119652.99
222,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170047.73
223,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,194871.44
224,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,220379.9
225,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98497.18
226,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123435.01
227,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170234.75
228,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,196865.97
229,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,223596.11
230,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100202.945
231,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,123777.35
232,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,172952.95
233,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,196668.73
234,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,223801.55
235,25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101842.21
236,25,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124973.54
237,25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172430.23
238,25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,199679.34
239,25,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,223116.6
