,Date,% of Homes Decreasing in Value,% of Homes Increasing in Value,% of Listings with Price Reduction,Median % Reduction,Median List Price,Median List Price per Square Foot,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Sales per Month,Zip_Code,Date.1,Year,Month,Day
7748,2012-01-31,71.64,21.51,13.4831460674157,3.1633311814073997,,101.617873651772,180302.0,100201.0,100065.0,152756.0,220117.0,322097.0,10.0,46250,2012-01-31,2012,01,31
7749,2012-02-29,72.02,22.61,18.6046511627907,3.6289474510814,,97.3850315599639,179357.0,100193.0,99392.0,151722.0,218805.0,321216.0,11.0,46250,2012-02-29,2012,02,29
7750,2012-03-31,73.04,21.23,10.0,2.9873039581777,,102.135774218154,179826.0,100021.0,99349.0,152011.0,219292.0,323731.0,14.0,46250,2012-03-31,2012,03,31
7751,2012-04-30,73.0,21.26,17.8947368421053,2.5647601949217997,,104.97334468870001,180905.0,99126.0,99564.0,152812.0,220671.0,327281.0,21.0,46250,2012-04-30,2012,04,30
7752,2012-05-31,72.3,20.79,23.076923076923105,3.7189065011907,,101.461632155907,183078.0,98250.0,100251.0,154682.0,223500.0,331914.0,17.0,46250,2012-05-31,2012,05,31
7753,2012-06-30,71.11,20.94,16.2162162162162,3.5943238731219,,104.456824512535,183631.0,97487.0,100467.0,155372.0,224087.0,333602.0,18.0,46250,2012-06-30,2012,06,30
7754,2012-07-31,69.05,22.8,12.5,3.6908999062958996,,106.800518134715,184462.0,96677.0,100310.0,156313.0,224848.0,335263.0,17.0,46250,2012-07-31,2012,07,31
7755,2012-08-31,68.82,23.14,17.592592592592602,2.7034333603677005,,106.119593940352,184100.0,96062.0,99737.0,156365.0,224368.0,334459.0,17.0,46250,2012-08-31,2012,08,31
7756,2012-09-30,72.21,21.11,17.8217821782178,2.7778034981805004,,100.85201793722,184372.0,95845.0,99336.0,156594.0,224978.0,334012.0,21.0,46250,2012-09-30,2012,09,30
7757,2012-10-31,69.96,21.79,19.5652173913043,2.9875241420147995,,98.29116054215159,185048.0,95749.0,99652.0,157345.0,226210.0,335097.0,26.0,46250,2012-10-31,2012,10,31
7758,2012-11-30,74.27,17.84,12.6436781609195,4.0776787338548,,99.2791008700334,184588.0,95295.0,99622.0,157026.0,225824.0,333095.0,12.0,46250,2012-11-30,2012,11,30
7759,2012-12-31,61.99,25.14,4.16666666666667,3.7046184243022995,,99.4152046783626,184730.0,94123.0,99843.0,157259.0,225920.0,332527.0,16.0,46250,2012-12-31,2012,12,31
7760,2013-01-31,36.51,49.62,17.910447761194,2.2832652641854,,100.286669851887,184582.0,93171.0,100075.0,157378.0,225616.0,331155.0,18.0,46250,2013-01-31,2013,01,31
7761,2013-02-28,36.85,51.42,12.857142857142902,2.8161645674576,,100.0,185716.0,92547.0,100906.0,158365.0,227382.0,332733.0,13.0,46250,2013-02-28,2013,02,28
7762,2013-03-31,31.95,59.78,16.4556962025316,2.8086419753087,,103.04319371727699,186207.0,92351.0,101299.0,158716.0,228633.0,333481.0,18.0,46250,2013-03-31,2013,03,31
7763,2013-04-30,28.79,61.6,18.888888888888896,2.7041644131963,,102.54200502190399,187931.0,92658.0,101998.0,160052.0,231461.0,336727.0,26.0,46250,2013-04-30,2013,04,30
7764,2013-05-31,40.24,46.46,20.212765957446802,2.4207133963231002,,99.975,189123.0,93125.0,102528.0,161080.0,233061.0,338496.0,24.0,46250,2013-05-31,2013,05,31
7765,2013-06-30,45.74,41.88,15.686274509803901,2.7871603781028,,98.0646736458786,190506.0,93735.0,103119.0,162326.0,235051.0,338888.0,22.0,46250,2013-06-30,2013,06,30
7766,2013-07-31,54.56,35.32,24.2105263157895,2.6783500634165,,99.0939977349943,190615.0,94186.0,103308.0,162405.0,235594.0,336535.0,30.0,46250,2013-07-31,2013,07,31
7767,2013-08-31,56.72,33.31,24.2105263157895,3.1007751937984995,,94.5060750132066,191496.0,94146.0,103682.0,163117.0,236980.0,336920.0,31.0,46250,2013-08-31,2013,08,31
7768,2013-09-30,62.32,25.94,23.655913978494603,2.9193839647104003,,95.8333333333333,192380.0,94187.0,104103.0,163810.0,237743.0,338671.0,29.0,46250,2013-09-30,2013,09,30
7769,2013-10-31,68.65,22.13,24.1758241758242,3.3344451856793,,97.3731884057971,192928.0,94781.0,104344.0,164280.0,237819.0,339877.0,23.0,46250,2013-10-31,2013,10,31
7770,2013-11-30,70.05,19.88,10.4651162790698,3.1466153824620005,,96.86034355656669,194141.0,95935.0,104878.0,165410.0,238582.0,341978.0,15.0,46250,2013-11-30,2013,11,30
7771,2013-12-31,70.53,20.83,12.5,3.6429872495446003,,93.75331604518759,195361.0,96798.0,105355.0,166615.0,239789.0,344704.0,25.0,46250,2013-12-31,2013,12,31
7772,2014-01-31,59.84,31.29,15.7894736842105,3.5196777408167006,,96.57375148026442,197979.0,97053.0,106221.0,168904.0,242884.0,350477.0,18.0,46250,2014-01-31,2014,01,31
